hand_id,finger_id,samples,duration_s,median_dt_s,median_step_px,p95_step_px,max_step_px,p95_velocity_px_s,large_jump_count,unstable_sample_count,no_zone_sample_count,zone_jitter_switches,top_zone,top_reason,tracking_sources
4,4,16,1.1871963000157848,0.07803400000557303,1.0,8.732269466105082,10.295630140987,116.59378214937706,0,0,0,0,B4,pressed,"{""legacy"": 16}"
4,8,16,1.1871963000157848,0.07803400000557303,1.0,15.481227975693951,25.0,203.20264429611603,1,3,0,0,A4,not_armed,"{""legacy"": 16}"
4,12,16,1.1871963000157848,0.07803400000557303,2.23606797749979,14.327216610312345,22.090722034374522,182.2225328693662,0,4,0,0,F4,not_armed,"{""legacy"": 16}"
4,16,16,1.1871963000157848,0.07803400000557303,1.4142135623730951,20.88212364442098,22.360679774997898,252.49840633959258,0,2,0,0,E4,not_armed,"{""legacy"": 16}"
4,20,16,1.1871963000157848,0.07803400000557303,1.0,7.518823416311322,20.396078054371138,105.82770726420205,0,0,0,0,D4,not_armed,"{""legacy"": 16}"
5,4,123,9.14166289998684,0.07451044998015277,1.4142135623730951,16.247503358419642,19.79898987322333,228.7818000466816,0,2,0,1,B4,short_drop,"{""legacy"": 123}"
5,8,123,9.14166289998684,0.07451044998015277,1.4142135623730951,29.965599479719693,68.59300255857006,410.3450804601162,13,4,0,0,A4,not_armed,"{""legacy"": 123}"
5,12,123,9.14166289998684,0.07451044998015277,2.0,28.40732150370919,40.26164427839479,391.5945622505418,13,4,0,5,F4,not_armed,"{""legacy"": 123}"
5,16,123,9.14166289998684,0.07451044998015277,2.0,28.050702479068505,39.20459156782532,383.34192965790197,9,4,0,2,E4,lifting,"{""legacy"": 123}"
5,20,123,9.14166289998684,0.07451044998015277,1.4142135623730951,19.978983833502877,28.635642126552707,268.9679797116386,1,2,0,4,D4,lifting,"{""legacy"": 123}"
6,4,3,0.1436659999890253,0.07183299999451265,6.845840206146233,8.982174032178222,9.219544457292887,102.30467854866531,0,2,0,0,A4,unstable_tracking,"{""legacy"": 3}"
6,8,3,0.1436659999890253,0.07183299999451265,6.451009853355388,7.009062016014467,7.0710678118654755,126.58295725634588,0,2,0,0,A4,unstable_tracking,"{""legacy"": 3}"
6,12,3,0.1436659999890253,0.07183299999451265,2.118033988749895,2.2242645786248003,2.23606797749979,36.132037625946545,0,2,0,0,G4,unstable_tracking,"{""legacy"": 3}"
6,16,3,0.1436659999890253,0.07183299999451265,1.618033988749895,2.1742645786248005,2.23606797749979,24.73483057873036,0,2,0,0,F4,unstable_tracking,"{""legacy"": 3}"
6,20,3,0.1436659999890253,0.07183299999451265,3.622582728609198,5.61011497822169,5.830951894845301,63.40511606965507,0,2,0,1,D4,unstable_tracking,"{""legacy"": 3}"
7,4,3,0.1565868000034243,0.07829340000171214,3.2071067811865475,4.820710678118655,5.0,85.49035057324768,0,2,0,0,A4,unstable_tracking,"{""legacy"": 3}"
7,8,3,0.1565868000034243,0.07829340000171214,14.843271312164852,15.222230901442858,15.264337522473747,266.0147667381897,0,2,0,0,A4,unstable_tracking,"{""legacy"": 3}"
7,12,3,0.1565868000034243,0.07829340000171214,19.885747250943304,20.100725342842626,20.12461179749811,351.03026941691087,0,2,0,0,G4,unstable_tracking,"{""legacy"": 3}"
7,16,3,0.1565868000034243,0.07829340000171214,18.618449844773714,21.845087964534436,22.20360331117452,383.99079655168737,0,2,0,0,F4,unstable_tracking,"{""legacy"": 3}"
7,20,3,0.1565868000034243,0.07829340000171214,17.28051417267848,22.03297692808911,22.561028345356956,388.54367163588097,0,2,0,1,E4,unstable_tracking,"{""legacy"": 3}"
8,4,20,1.456533099990338,0.07561770000029355,1.0,13.355294535724678,16.55294535724685,178.76986377562798,0,2,0,1,A4,armed,"{""legacy"": 20}"
8,8,20,1.456533099990338,0.07561770000029355,1.0,10.875163868851908,11.40175425099138,137.1974873006146,0,2,0,1,B4,not_armed,"{""legacy"": 20}"
8,12,20,1.456533099990338,0.07561770000029355,1.0,7.398024683435504,19.235384061671343,99.21865604803935,0,2,0,0,A4,not_armed,"{""legacy"": 20}"
8,16,20,1.456533099990338,0.07561770000029355,1.0,20.389776118017597,23.0,273.9146495526835,0,3,0,0,F4,not_armed,"{""legacy"": 20}"
8,20,20,1.456533099990338,0.07561770000029355,1.0,20.103822817660166,22.847319317591726,270.0554080606957,0,3,0,0,E4,not_armed,"{""legacy"": 20}"
9,4,107,7.998281500011217,0.07442425002227537,2.23606797749979,8.137220857403154,34.438350715445125,108.87975644820295,1,2,0,0,B4,armed,"{""legacy"": 107}"
9,8,107,7.998281500011217,0.07442425002227537,2.23606797749979,14.673659658795863,40.718546143004666,195.96528956473887,1,2,0,0,A4,not_armed,"{""legacy"": 107}"
9,12,107,7.998281500011217,0.07442425002227537,3.1622776601683795,16.76885269318677,36.359317925395686,226.61613365574055,2,2,0,3,F4,not_armed,"{""legacy"": 107}"
9,16,107,7.998281500011217,0.07442425002227537,2.23606797749979,14.02660240694874,32.2490309931942,191.4650822474176,1,2,0,0,E4,not_armed,"{""legacy"": 107}"
9,20,107,7.998281500011217,0.07442425002227537,2.23606797749979,9.486832980505138,23.08679276123039,131.35907172871333,0,4,0,4,D4,not_armed,"{""legacy"": 107}"
