frame_index,timestamp,note_id,sound_id,hand_id,finger_id,velocity,volume
33,2.7438089000061154,A4,a4,1,8,207.21380309560337,0.4089272308211205
55,4.405014899966773,A4,a4,1,12,181.19931656491022,0.3366647682358617
72,5.703965299995616,A4,a4,2,8,103.19198606675938,0.22
80,6.298440399987157,A4,a4,2,8,178.09341411033986,0.32803726141761075
207,15.748707899998408,A4,a4,2,8,331.6621246815548,0.7546170130043189
298,22.46843439998338,A4,a4,2,8,453.73852189903,1.0
310,23.359786699991673,A4,a4,2,8,673.1240788884878,1.0
321,24.1899790999596,A4,a4,2,8,685.043921259543,1.0
342,25.766749900009017,F4,f4,2,12,80.61753027904638,0.22
354,26.658587499987334,F4,f4,2,12,85.73363701714067,0.22
366,27.536133799992967,A4,a4,2,8,270.04401706982924,0.5834556029717479
379,28.518980799999554,A4,a4,2,8,630.7028909503246,1.0
