frame_index,timestamp,note_id,sound_id,hand_id,finger_id,velocity,volume
34,2.5960024999803863,A4,a4,5,4,219.13458875066573,0.4420405243074048
74,5.56770559999859,A4,a4,5,4,92.77925556205284,0.22
84,6.301356499956455,G4,g4,5,8,344.69546836696077,0.7908207454637799
96,7.203067199967336,A4,a4,5,4,321.11603186019954,0.7253223107227765
107,8.036236199957784,A4,a4,5,4,172.38010969533948,0.312166971375943
144,10.878403499955311,A4,a4,5,4,405.79474906513036,0.9605409696253621
174,13.118048099975567,A4,a4,5,4,229.3433326452814,0.4703981462368928
188,14.1565627999953,G4,g4,5,8,692.3913114936308,1.0
202,15.228984299988952,A4,a4,5,4,210.14558136172283,0.417071059338119
215,16.268806599953678,G4,g4,5,8,325.68475236323025,0.7380132010089729
229,17.334726999979466,A4,a4,5,4,164.58038172478118,0.2905010603466144
294,22.19639349996578,G4,g4,5,8,507.50277951291486,1.0
358,27.041888699983247,A4,a4,10,4,286.85350397466567,0.6301486221518491
408,30.813624499947764,A4,a4,17,4,452.76930187405486,1.0
444,33.52486189996125,F4,f4,21,12,891.096829232055,1.0
