hand_id,finger_id,samples,duration_s,median_dt_s,median_step_px,p95_step_px,max_step_px,p95_velocity_px_s,large_jump_count,unstable_sample_count,no_zone_sample_count,zone_jitter_switches,top_zone,top_reason,tracking_sources
1,4,5,0.24393650004640222,0.05781035000109114,17.77938903308049,35.06433961582062,36.71511950137164,574.885512375736,2,0,5,0,,no_zone,"{""legacy+refined"": 5}"
1,8,5,0.24393650004640222,0.05781035000109114,24.619279565673526,43.03926471860831,44.598206241955516,704.409613204592,2,0,5,0,,no_zone,"{""legacy+refined"": 5}"
1,12,5,0.24393650004640222,0.05781035000109114,23.754443837091372,36.30778819064905,37.33630940518894,509.9883664948428,2,0,5,0,,no_zone,"{""legacy+refined"": 5}"
1,16,5,0.24393650004640222,0.05781035000109114,20.0146931829632,23.867700654089333,24.020824298928627,412.5710421860414,0,0,5,0,,no_zone,"{""legacy+refined"": 5}"
1,20,5,0.24393650004640222,0.05781035000109114,17.658910531638178,23.831392603013946,24.331050121192877,369.33291594878335,0,0,5,0,,no_zone,"{""legacy+refined"": 5}"
7,4,31,3.0216367000248283,0.10431690001860261,6.4031242374328485,11.980808779804484,13.92838827718412,116.90827117009056,0,0,0,1,B4,pressed,"{""legacy+refined"": 31}"
7,8,31,3.0216367000248283,0.10431690001860261,5.0,10.93758495089579,15.811388300841896,112.97157255485678,0,3,0,2,A4,armed,"{""legacy+refined"": 31}"
7,12,31,3.0216367000248283,0.10431690001860261,6.203658925317489,14.296173836699705,17.08800749063506,154.01142010223958,0,3,0,3,A4,pressed,"{""legacy+refined"": 31}"
7,16,31,3.0216367000248283,0.10431690001860261,6.082762530298219,20.571768508356,21.18962010041709,190.23526035585638,0,0,0,4,G4,not_armed,"{""legacy+refined"": 31}"
7,20,31,3.0216367000248283,0.10431690001860261,7.566662780082012,17.382513778062943,19.6468827043885,178.07442580147705,0,1,0,3,F4,armed,"{""legacy+refined"": 31}"
9,4,36,3.1926263999775983,0.10343359998660162,6.708203932499369,16.169611498544093,25.632011235952593,196.26800982414085,1,2,0,2,B4,armed,"{""legacy+refined"": 36}"
9,8,36,3.1926263999775983,0.10343359998660162,9.219544457292887,21.63711697934039,25.495097567963924,271.5074774050345,1,3,0,4,A4,pressed,"{""legacy+refined"": 36}"
9,12,36,3.1926263999775983,0.10343359998660162,6.324555320336759,14.120314512315645,18.24828759089466,190.7931871794497,0,1,0,0,G4,short_drop,"{""legacy+refined"": 36}"
9,16,36,3.1926263999775983,0.10343359998660162,6.708203932499369,14.238133831920162,21.213203435596427,192.7360394617064,0,0,0,2,F4,pressed,"{""legacy+refined"": 36}"
