onset,note,frame_index,source,score_index,video,fps
8.604022,C4,89,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
10.054138,C4,104,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
11.310905,G4,117,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
12.470998,G4,129,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
14.114462,A4,146,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
15.371230,A4,159,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
16.918020,G4,175,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
19.334880,F4,200,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
20.398299,F4,211,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
22.041763,E4,228,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
23.395205,E4,242,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
24.651972,D4,255,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
26.682135,D4,276,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
28.035576,C4,290,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
31.515855,G4,326,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
32.579273,G4,337,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
33.836040,F4,350,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
34.996133,F4,362,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
36.542923,E4,378,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
37.799691,E4,391,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
38.959783,D4,403,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
42.246713,G4,437,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
44.180201,G4,457,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
45.436968,F4,470,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
46.597061,F4,482,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
47.950503,E4,496,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
49.207270,E4,509,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
50.850735,D4,526,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
53.364269,C4,552,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
55.394432,C4,573,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
56.651199,G4,586,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
57.907966,G4,599,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
59.261408,A4,613,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
60.711524,A4,628,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
62.354988,G4,645,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
64.481825,F4,667,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
65.641918,F4,679,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
66.802011,E4,691,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
67.962104,E4,703,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
69.605568,D4,720,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
70.959010,D4,734,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
72.409126,C4,749,direct,,data\sessions\shuxingxing01\raw_video.avi,10.344000
